@RELATION svm5classmodel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {depan_mati,tengah_mati,depan_menyala,samping_mati}

@DATA
0.057945,0.015979,2.771151,0.165820,0.219626,0.410318,0.008608,0.056242,-30.389405,2.278470,0.340112,0.384800,0.164241,0.011296,-0.014728,0.050657,-0.205476,0.163158,-0.153277,0.153103,-0.033570,0.032958,0.001879,0.070245,0.009494,0.031801,0.016901,0.051686,0.003701,0.005228,0.010234,0.028533,0.003499,0.030792,0.039850,0.022815,0.642103,0.082516,0.067890,0.404736,0.006190,0.049438,5.851649,1.101309,0.679617,0.340463,0.252651,0.228588,0.228331,0.289657,0.224594,0.210311,0.272339,0.194990,0.176078,0.045129,0.001815,0.045645,0.008463,0.028755,0.021505,0.044685,0.009180,0.004092,0.008194,0.027613,0.003047,0.013396,depan_mati
0.063489,0.007143,2.956867,0.181068,0.222599,0.484215,0.009164,0.082724,-31.430981,2.017748,0.200156,0.095502,0.047746,0.080532,-0.024921,0.022823,-0.022504,0.189105,-0.088994,0.015416,-0.117739,0.025355,0.004575,0.064874,0.007270,0.035126,0.008731,0.024899,0.004444,0.006078,0.009687,0.026348,0.004881,0.027175,0.045972,0.010796,0.414727,0.083194,0.065639,0.380634,0.008074,0.084778,5.779633,0.803832,0.778619,0.387040,0.288359,0.259030,0.280468,0.279235,0.242746,0.228998,0.221145,0.191884,0.175272,0.024115,0.004345,0.065859,0.006901,0.030471,0.010724,0.023514,0.007331,0.005507,0.007381,0.025710,0.004799,0.014830,depan_mati
0.056301,0.006911,2.823930,0.167409,0.213758,0.405871,0.010017,0.071953,-31.210341,2.126558,0.115533,0.262088,0.160484,0.128918,0.007311,0.017550,0.083908,0.098296,-0.107859,-0.011882,-0.158947,0.017141,0.005317,0.067635,0.007674,0.027892,0.006441,0.033750,0.002510,0.006680,0.015344,0.039690,0.003634,0.028873,0.040565,0.011844,0.487800,0.074595,0.058791,0.366479,0.007659,0.074292,4.667560,0.794366,0.743972,0.483431,0.321112,0.368204,0.243165,0.258306,0.187848,0.218494,0.204468,0.217988,0.219367,0.019234,0.004741,0.066062,0.006311,0.026093,0.009074,0.043035,0.002764,0.008275,0.016758,0.030085,0.004030,0.016520,depan_mati
0.063616,0.010918,2.870327,0.159539,0.207323,0.459989,0.009218,0.083345,-30.086340,2.109188,0.076356,0.199644,-0.051980,0.093888,0.008085,0.033636,0.081898,0.117177,-0.073401,0.002408,-0.122992,0.021374,0.003459,0.040673,0.021507,0.031090,0.008024,0.029246,0.002037,0.008171,0.012405,0.023735,0.008859,0.020426,0.040469,0.015912,0.383588,0.059937,0.046880,0.481437,0.007374,0.081794,4.329447,0.713257,0.787246,0.422346,0.332716,0.296541,0.315538,0.308572,0.261545,0.173746,0.216908,0.159030,0.180266,0.027465,0.002815,0.029723,0.028135,0.024302,0.008306,0.025339,0.002056,0.008260,0.008460,0.021568,0.011989,0.011013,depan_mati
0.055640,0.006629,2.891518,0.171431,0.224284,0.336475,0.007929,0.052913,-31.417440,2.325639,0.103804,0.160505,-0.090052,0.029834,-0.040903,0.030169,-0.054871,0.118451,-0.157882,0.000639,-0.091734,0.026765,0.006313,0.034649,0.011364,0.050262,0.009143,0.024617,0.003472,0.007984,0.022208,0.023112,0.006527,0.023122,0.030387,0.008697,0.406266,0.069752,0.057599,0.278327,0.007240,0.048488,4.923478,0.690057,0.703341,0.371684,0.269490,0.242218,0.248654,0.263883,0.210281,0.152337,0.153027,0.191609,0.168518,0.024763,0.008346,0.033963,0.010836,0.034082,0.009275,0.016723,0.004873,0.007922,0.024546,0.018398,0.006155,0.008111,depan_mati
0.079492,0.002885,2.980461,0.196443,0.237808,0.642935,0.005488,0.089776,-32.852833,1.687855,0.028170,-0.072359,-0.157504,0.040221,0.065808,0.045389,-0.082144,-0.006597,-0.163741,0.012463,-0.086361,0.011460,0.004528,0.047737,0.017844,0.019980,0.009710,0.018401,0.004238,0.011879,0.016476,0.031321,0.003863,0.019998,0.020378,0.004641,0.272920,0.039050,0.035331,0.227581,0.005176,0.035244,2.987083,0.456129,0.540623,0.237930,0.182535,0.140036,0.135263,0.150767,0.147943,0.178376,0.158112,0.094513,0.124552,0.008480,0.002906,0.035053,0.010549,0.016104,0.008026,0.011964,0.003265,0.009682,0.016203,0.024717,0.003146,0.009189,depan_mati
0.063657,0.003707,3.020280,0.200645,0.245499,0.485245,0.005130,0.069087,-33.641838,1.912775,0.099813,0.190730,0.000568,0.051037,-0.069553,-0.107852,0.023335,0.098187,-0.093847,0.016007,-0.040293,0.017050,0.002571,0.038883,0.010091,0.046716,0.013869,0.026520,0.004594,0.006327,0.015560,0.026064,0.005617,0.022488,0.024292,0.006336,0.284912,0.048245,0.040833,0.248453,0.004874,0.050324,3.489750,0.457948,0.573117,0.329582,0.217872,0.239781,0.206958,0.232116,0.166128,0.172107,0.212653,0.119781,0.134188,0.013872,0.002102,0.038864,0.007899,0.025719,0.010066,0.019903,0.004743,0.003626,0.008760,0.019221,0.004333,0.010110,depan_mati
0.078910,0.006999,2.971582,0.195466,0.239842,0.669097,0.005949,0.092272,-32.412118,1.932489,0.180082,0.208168,-0.060887,0.004893,0.054426,0.056357,0.075733,0.202448,-0.074143,0.045878,-0.206777,0.029008,0.003593,0.041795,0.009847,0.039570,0.006660,0.025190,0.003076,0.007854,0.016424,0.021848,0.006496,0.022420,0.027757,0.010222,0.302747,0.040684,0.028894,0.300794,0.005154,0.047763,3.066969,0.597921,0.381628,0.254017,0.204801,0.201249,0.171518,0.157899,0.120851,0.138056,0.129803,0.098498,0.116475,0.026598,0.002936,0.036612,0.010593,0.018631,0.005856,0.016609,0.003889,0.003044,0.012906,0.015778,0.005084,0.009802,depan_mati
0.079775,0.004838,2.954664,0.199811,0.239966,0.507111,0.006262,0.071431,-33.759603,1.889675,0.043980,0.254622,-0.010435,0.001108,-0.049426,0.024255,-0.060664,0.033160,-0.187188,-0.060037,-0.081612,0.024409,0.003578,0.033079,0.013570,0.059952,0.006097,0.023697,0.003265,0.003589,0.014755,0.024167,0.005256,0.027620,0.030672,0.009044,0.350926,0.054056,0.044411,0.273060,0.005534,0.046723,3.565346,0.586405,0.524693,0.340440,0.310600,0.200954,0.162927,0.181201,0.157408,0.224153,0.210191,0.177207,0.144699,0.027830,0.003339,0.031663,0.009449,0.030376,0.005118,0.030619,0.004898,0.003193,0.012549,0.023344,0.005768,0.010477,depan_mati
0.072308,0.006519,2.973897,0.192193,0.239519,0.444393,0.005707,0.059150,-33.355283,1.973260,0.006745,0.165761,0.021988,0.080105,0.014555,-0.019395,0.023995,0.141434,-0.065080,0.008764,-0.112134,0.020206,0.003641,0.039691,0.016585,0.043834,0.006430,0.022863,0.003862,0.005542,0.014313,0.038654,0.004493,0.025348,0.024080,0.009435,0.391807,0.049305,0.044290,0.238322,0.004348,0.037004,3.459521,0.563895,0.568113,0.343010,0.274672,0.232645,0.224699,0.197978,0.156410,0.174455,0.174394,0.139390,0.172479,0.024532,0.002957,0.030049,0.018659,0.020022,0.004785,0.019818,0.005221,0.005376,0.018248,0.029741,0.003441,0.008905,depan_mati
